order_id,customer_id,customer_name,city,product,quantity,unit_price,order_date,status,total_amount
ORD0001,CUST0007,Aarav,Mumbai,Monitor,1,12463,2026-03-04,Completed,12463
ORD0002,CUST0014,Vivaan,Hyderabad,Monitor,3,12764,2026-01-09,Completed,38292
ORD0003,CUST0027,Aditya,Hubli,Mouse,3,854,2026-05-24,Completed,2562
ORD0004,CUST0028,Arjun,Mumbai,Mouse,2,1369,2026-07-27,Completed,2738
ORD0005,CUST0006,Rahul,Hyderabad,Mobile,2,22218,2026-02-25,Completed,44436
ORD0006,CUST0017,Rohan,Belgaum,Tablet,1,18635,2026-08-05,Completed,18635
ORD0007,CUST0006,Vikram,Mysore,Laptop,3,55840,2026-05-18,Completed,167520
ORD0008,CUST0003,Karan,Hyderabad,Headphones,3,3140,2026-05-28,Completed,9420
ORD0009,CUST0025,Amit,Hyderabad,Mouse,2,963,2026-08-07,Completed,1926
ORD0010,CUST0014,Neeraj,Delhi,Headphones,2,3147,2026-02-11,Completed,6294
ORD0011,CUST0016,Ananya,Hubli,Headphones,3,2546,2026-06-05,Completed,7638
ORD0012,CUST0021,Priya,Pune,Keyboard,2,2477,2026-03-11,Cancelled,4954
ORD0013,CUST0018,Sneha,Mysore,Laptop,1,54965,2026-07-26,Completed,54965
ORD0014,CUST0030,Pooja,Mysore,Monitor,1,12544,2026-02-24,Pending,12544
ORD0015,CUST0017,Kavya,Hubli,Keyboard,2,1985,2026-03-05,Cancelled,3970
ORD0016,CUST0033,Isha,Mumbai,Tablet,3,18717,2026-04-03,Completed,56151
ORD0017,CUST0011,Meera,Mumbai,Smartwatch,1,6996,2026-08-09,Completed,6996
ORD0018,CUST0030,Nisha,Belgaum,Tablet,3,18030,2026-04-09,Pending,54090
ORD0019,CUST0018,Aditi,Hubli,Headphones,3,2423,2026-06-24,Completed,7269
ORD0020,CUST0001,Riya,Bidar,Mobile,1,22501,2026-04-22,Completed,22501
ORD0021,CUST0033,Aarav,Chennai,Headphones,3,2765,2026-05-10,Completed,8295
ORD0022,CUST0034,Vivaan,Hubli,Mouse,1,1565,2026-07-15,Completed,1565
ORD0023,CUST0024,Aditya,Hyderabad,Laptop,3,55563,2026-05-06,Completed,166689
ORD0024,CUST0006,Arjun,Hyderabad,Headphones,1,2518,2026-03-03,Cancelled,2518
ORD0025,CUST0031,Rahul,Mumbai,Smartwatch,1,7990,2026-07-16,Completed,7990
ORD0026,CUST0035,Rohan,Pune,Keyboard,2,2780,2026-06-05,Pending,5560
ORD0027,CUST0034,Vikram,Bidar,Mouse,3,1438,2026-04-13,Completed,4314
ORD0028,CUST0002,Karan,Delhi,Smartwatch,1,7407,2026-02-27,Completed,7407
ORD0029,CUST0015,Amit,Bangalore,Mouse,3,1251,2026-01-02,Completed,3753
ORD0030,CUST0018,Neeraj,Pune,Monitor,1,12576,2026-01-19,Cancelled,12576
ORD0031,CUST0031,Ananya,Belgaum,Smartwatch,1,7170,2026-07-05,Cancelled,7170
ORD0032,CUST0028,Priya,Hyderabad,Mouse,2,1633,2026-02-18,Completed,3266
ORD0033,CUST0004,Sneha,Hyderabad,Mobile,2,22741,2026-04-30,Completed,45482
ORD0034,CUST0013,Pooja,Pune,Tablet,3,18594,2026-07-24,Completed,55782
ORD0035,CUST0018,Kavya,Mumbai,Mouse,3,1718,2026-02-05,Pending,5154
ORD0036,CUST0004,Isha,Hyderabad,Smartwatch,1,7054,2026-04-24,Cancelled,7054
ORD0037,CUST0031,Meera,Bidar,Laptop,1,55384,2026-02-12,Pending,55384
ORD0038,CUST0025,Nisha,Bangalore,Mouse,2,920,2026-02-12,Pending,1840
ORD0039,CUST0010,Aditi,Bidar,Headphones,2,2984,2026-04-19,Cancelled,5968
ORD0040,CUST0004,Riya,Hubli,Mouse,2,1245,2026-01-15,Cancelled,2490
ORD0041,CUST0034,Aarav,Hubli,Mobile,1,22002,2026-05-30,Pending,22002
ORD0042,CUST0039,Vivaan,Hyderabad,Keyboard,1,2740,2026-01-21,Completed,2740
ORD0043,CUST0016,Aditya,Belgaum,Monitor,3,12381,2026-04-14,Completed,37143
ORD0044,CUST0034,Arjun,Belgaum,Laptop,3,55067,2026-04-18,Cancelled,165201
ORD0045,CUST0017,Rahul,Pune,Mobile,2,22318,2026-06-21,Completed,44636
ORD0046,CUST0001,Rohan,Hyderabad,Tablet,1,18514,2026-04-28,Completed,18514
ORD0047,CUST0033,Vikram,Pune,Smartwatch,3,7104,2026-01-19,Cancelled,21312
ORD0048,CUST0019,Karan,Delhi,Headphones,1,3114,2026-01-18,Completed,3114
ORD0049,CUST0036,Amit,Bangalore,Keyboard,2,2319,2026-06-06,Cancelled,4638
ORD0050,CUST0007,Neeraj,Hyderabad,Headphones,3,2612,2026-02-04,Completed,7836
ORD0051,CUST0014,Ananya,Delhi,Keyboard,2,2277,2026-06-04,Completed,4554
ORD0052,CUST0028,Priya,Hyderabad,Headphones,3,3400,2026-03-06,Completed,10200
ORD0053,CUST0011,Sneha,Chennai,Headphones,1,2407,2026-03-27,Completed,2407
ORD0054,CUST0005,Pooja,Hyderabad,Smartwatch,3,7775,2026-05-24,Completed,23325
ORD0055,CUST0036,Kavya,Belgaum,Keyboard,3,1773,2026-08-02,Completed,5319
ORD0056,CUST0003,Isha,Delhi,Keyboard,2,1961,2026-01-11,Completed,3922
ORD0057,CUST0036,Meera,Delhi,Mobile,1,22411,2026-06-20,Completed,22411
ORD0058,CUST0027,Nisha,Mumbai,Tablet,3,18216,2026-03-02,Completed,54648
ORD0059,CUST0018,Aditi,Pune,Laptop,1,55580,2026-07-20,Pending,55580
ORD0060,CUST0015,Riya,Bidar,Keyboard,3,1921,2026-04-08,Completed,5763
ORD0061,CUST0002,Aarav,Pune,Mouse,2,1516,2026-03-20,Completed,3032
ORD0062,CUST0023,Vivaan,Chennai,Mouse,2,1472,2026-03-13,Completed,2944
ORD0063,CUST0017,Aditya,Hyderabad,Tablet,3,18998,2026-03-26,Completed,56994
ORD0064,CUST0028,Arjun,Belgaum,Keyboard,3,2243,2026-01-10,Completed,6729
ORD0065,CUST0008,Rahul,Hubli,Mobile,3,22542,2026-04-22,Cancelled,67626
ORD0066,CUST0001,Rohan,Mysore,Tablet,3,18289,2026-03-07,Completed,54867
ORD0067,CUST0021,Vikram,Belgaum,Mouse,2,1683,2026-01-18,Completed,3366
ORD0068,CUST0021,Karan,Mysore,Monitor,3,12515,2026-05-10,Completed,37545
ORD0069,CUST0027,Amit,Pune,Tablet,3,18505,2026-05-22,Completed,55515
ORD0070,CUST0026,Neeraj,Chennai,Tablet,3,18256,2026-06-07,Cancelled,54768
ORD0071,CUST0039,Ananya,Belgaum,Laptop,2,55487,2026-02-23,Pending,110974
ORD0072,CUST0031,Priya,Hubli,Mobile,2,22804,2026-04-24,Completed,45608
ORD0073,CUST0022,Sneha,Belgaum,Keyboard,3,1873,2026-03-14,Cancelled,5619
ORD0074,CUST0002,Pooja,Mumbai,Monitor,1,12535,2026-02-27,Completed,12535
ORD0075,CUST0027,Kavya,Bidar,Laptop,1,55873,2026-06-06,Completed,55873
ORD0076,CUST0010,Isha,Pune,Mouse,3,1586,2026-05-07,Pending,4758
ORD0077,CUST0030,Meera,Hubli,Laptop,1,55770,2026-02-26,Completed,55770
ORD0078,CUST0009,Nisha,Bidar,Laptop,3,55410,2026-08-06,Completed,166230
ORD0079,CUST0029,Aditi,Delhi,Smartwatch,3,7987,2026-05-24,Cancelled,23961
ORD0080,CUST0017,Riya,Bidar,Tablet,3,18813,2026-02-10,Pending,56439
ORD0081,CUST0016,Aarav,Bidar,Mouse,3,1367,2026-07-16,Cancelled,4101
ORD0082,CUST0018,Vivaan,Pune,Headphones,2,2558,2026-07-02,Completed,5116
ORD0083,CUST0025,Aditya,Pune,Mobile,2,22065,2026-02-05,Completed,44130
ORD0084,CUST0022,Arjun,Mysore,Keyboard,3,2138,2026-01-17,Pending,6414
ORD0085,CUST0038,Rahul,Mysore,Smartwatch,2,7027,2026-02-22,Pending,14054
ORD0086,CUST0020,Rohan,Delhi,Laptop,3,55679,2026-05-03,Completed,167037
ORD0087,CUST0028,Vikram,Chennai,Tablet,2,18351,2026-05-05,Completed,36702
ORD0088,CUST0030,Karan,Mumbai,Smartwatch,1,7696,2026-03-28,Pending,7696
ORD0089,CUST0037,Amit,Belgaum,Keyboard,3,2793,2026-01-07,Pending,8379
ORD0090,CUST0004,Neeraj,Mumbai,Laptop,1,55777,2026-02-04,Pending,55777
ORD0091,CUST0022,Ananya,Delhi,Headphones,2,3070,2026-02-24,Pending,6140
ORD0092,CUST0002,Priya,Bidar,Tablet,2,18763,2026-03-06,Completed,37526
ORD0093,CUST0002,Sneha,Bangalore,Laptop,2,55359,2026-06-16,Completed,110718
ORD0094,CUST0009,Pooja,Pune,Mouse,1,841,2026-06-09,Completed,841
ORD0095,CUST0017,Kavya,Bidar,Smartwatch,3,7134,2026-05-25,Completed,21402
ORD0096,CUST0007,Isha,Chennai,Mobile,1,22134,2026-07-19,Completed,22134
ORD0097,CUST0038,Meera,Hyderabad,Laptop,2,55668,2026-04-12,Completed,111336
ORD0098,CUST0037,Nisha,Hyderabad,Mouse,1,1417,2026-08-06,Cancelled,1417
ORD0099,CUST0033,Aditi,Hyderabad,Laptop,2,55991,2026-04-20,Completed,111982
ORD0100,CUST0028,Riya,Hyderabad,Mobile,1,22760,2026-07-30,Pending,22760
